track,track_label,feature_set,threshold_method,threshold_label,profile_field,feature_family,is_model_input_feature,contrast_status,n_fp,n_tp,nonmissing_fp,nonmissing_tp,mean_fp,mean_tp,median_fp,median_tp,sd_fp,sd_tp,smd_fp_minus_tp,missing_rate_fp,missing_rate_tp,missing_rate_diff_fp_minus_tp,mean_rank_pct_fp,mean_rank_pct_tp,mean_rank_pct_diff_fp_minus_tp,source_rows_cv_only,note,abs_smd
dynamic_csi,Temporary CSI,raw,fpr1,CV FPR <= 1%,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,690,286,690,286,0.29809656488722647,0.3051694866035368,0.2904694825410843,0.30004383623600006,0.029198256797181934,0.03159025681834987,-0.23641045083088214,0.0,0.0,0.0,0.478966203373723,0.5524941247277312,-0.07352792135400821,True,CV out-of-fold model score; not an input feature,0.23641045083088214
dynamic_csi,Temporary CSI,raw,fpr1,CV FPR <= 1%,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,690,286,690,286,2006.3420289855073,2006.8881118881118,2005.0,2006.0,3.553301610598023,3.7605615390778424,-0.15105286287358674,0.0,0.0,0.0,0.48763215728201476,0.5315867534105239,-0.043954596128509105,True,CV cohort key year; not an input feature,0.15105286287358674
dynamic_csi,Temporary CSI,raw,fpr1,CV FPR <= 1%,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,690,286,690,286,2.601449275362319,2.699300699300699,2.0,2.0,0.7876021837772041,0.8124899138696186,-0.1230889448619129,0.0,0.0,0.0,0.4908781777144215,0.5237554453742977,-0.03287726765987625,True,CV fold identifier; not an input feature,0.1230889448619129
dynamic_csi,Temporary CSI,raw,fpr3,CV FPR <= 3%,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,2073,731,2073,731,2006.653159671973,2007.4596443228454,2005.0,2007.0,4.174616587262937,4.1243612220268515,-0.19379280044872815,0.0,0.0,0.0,0.4827127430801425,0.5497079118944794,-0.06699516881433693,True,CV cohort key year; not an input feature,0.19379280044872815
dynamic_csi,Temporary CSI,raw,fpr3,CV FPR <= 3%,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,2073,731,2073,731,0.2582615432506935,0.26493574422051575,0.25019413232803345,0.2534502148628235,0.03473361301157319,0.03931252452002277,-0.18548350319496568,0.0,0.0,0.0,0.4883666638452545,0.5336742898068227,-0.04530762596156823,True,CV out-of-fold model score; not an input feature,0.18548350319496568
dynamic_csi,Temporary CSI,raw,fpr3,CV FPR <= 3%,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,2073,731,2073,731,2.6835504100337677,2.8030095759233924,2.0,3.0,0.853227200055276,0.8740030554889763,-0.13911819154036012,0.0,0.0,0.0,0.4905125714557041,0.5275888363506502,-0.03707626489494614,True,CV fold identifier; not an input feature,0.13911819154036012
dynamic_csi,Temporary CSI,raw,fpr5,CV FPR <= 5%,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,3446,1065,3446,1065,0.23560991007629273,0.24482569578387928,0.22632905095815659,0.23584766685962677,0.039138700928898755,0.0444054037378548,-0.22786888013636267,0.0,0.0,0.0,0.48627595432227116,0.5448761139957308,-0.058600159673459606,True,CV out-of-fold model score; not an input feature,0.22786888013636267
dynamic_csi,Temporary CSI,raw,fpr5,CV FPR <= 5%,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,3446,1065,3446,1065,2006.7562391178178,2007.5840375586854,2005.0,2007.0,4.320244337381666,4.207352211328042,-0.19278598683143058,0.0,0.0,0.0,0.4840405274885548,0.5521092415722444,-0.06806871408368959,True,CV cohort key year; not an input feature,0.19278598683143058
dynamic_csi,Temporary CSI,raw,fpr5,CV FPR <= 5%,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,3446,1065,3446,1065,2.71329077190946,2.8366197183098594,2.0,3.0,0.8695345638946249,0.8787229236172925,-0.1414790869971021,0.0,0.0,0.0,0.4909769155246098,0.5296653043213095,-0.038688388796699724,True,CV fold identifier; not an input feature,0.1414790869971021
dynamic_csi,Temporary CSI,raw,youden,CV Youden J,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,18265,2682,18265,2682,0.12766772997977308,0.16784008828357785,0.11034028232097626,0.16297686845064163,0.06476822381804297,0.07488901379157198,-0.6072902534217103,0.0,0.0,0.0,0.47932061037966184,0.6410175434062182,-0.16169693302655636,True,CV out-of-fold model score; not an input feature,0.6072902534217103
dynamic_csi,Temporary CSI,raw,youden,CV Youden J,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,18265,2682,18265,2682,2007.6784013139886,2008.2289336316182,2007.0,2007.0,4.2591591118731795,3.8880949881844775,-0.13065957190749136,0.0,0.0,0.0,0.4945133750476398,0.5375515304827955,-0.043038155435155656,True,CV cohort key year; not an input feature,0.13065957190749136
dynamic_csi,Temporary CSI,raw,youden,CV Youden J,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,18265,2682,18265,2682,2.8643854366274297,2.9377330350484714,3.0,3.0,0.863717312334716,0.8258689131534146,-0.08539060000094553,0.0,0.0,0.0,0.4967812916859205,0.5221065277243333,-0.0253252360384128,True,CV fold identifier; not an input feature,0.08539060000094553
dynamic_csi,Temporary CSI,raw_plus_latent,fpr1,CV FPR <= 1%,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,690,306,690,306,0.30496984832528706,0.3098033102704029,0.2939549833536148,0.29969027638435364,0.03461128736613366,0.03868985910948693,-0.13459163103392635,0.0,0.0,0.0,0.490329433676736,0.5234401658923276,-0.033110732215591576,True,CV out-of-fold model score; not an input feature,0.13459163103392635
dynamic_csi,Temporary CSI,raw_plus_latent,fpr1,CV FPR <= 1%,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,690,306,690,306,2.92463768115942,2.9640522875816995,3.0,3.0,0.8277491113381973,0.8069464303901096,-0.04798338166226575,0.0,0.0,0.0,0.49630696699842847,0.5099614142845893,-0.013654447286160831,True,CV fold identifier; not an input feature,0.04798338166226575
dynamic_csi,Temporary CSI,raw_plus_latent,fpr1,CV FPR <= 1%,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,690,306,690,306,2007.7840579710146,2007.888888888889,2007.0,2007.0,3.8575552388056735,3.6843587080051248,-0.027549023589978964,0.0,0.0,0.0,0.4964699377219021,0.5095939312806782,-0.013123993558776081,True,CV cohort key year; not an input feature,0.027549023589978964
dynamic_csi,Temporary CSI,raw_plus_latent,fpr3,CV FPR <= 3%,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,2059,773,2059,773,0.25844017737927283,0.2649095459211073,0.247160404920578,0.253231018781662,0.04067611247119961,0.04541981105975538,-0.153947179602394,0.0,0.0,0.0,0.48968408640034244,0.52812479443945,-0.038440708039107596,True,CV out-of-fold model score; not an input feature,0.153947179602394
dynamic_csi,Temporary CSI,raw_plus_latent,fpr3,CV FPR <= 3%,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,2059,773,2059,773,2007.6007770762506,2008.0116429495472,2007.0,2007.0,4.140266534419496,4.093292759293242,-0.09954338571957577,0.0,0.0,0.0,0.4913278619701847,0.5237463547262482,-0.03241849275606351,True,CV cohort key year; not an input feature,0.09954338571957577
dynamic_csi,Temporary CSI,raw_plus_latent,fpr3,CV FPR <= 3%,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,2059,773,2059,773,2.865954346770277,2.926261319534282,3.0,3.0,0.8759288835250767,0.8628763316652031,-0.0691286427879847,0.0,0.0,0.0,0.4948483027524194,0.5143691392403212,-0.019520836487901816,True,CV fold identifier; not an input feature,0.0691286427879847
dynamic_csi,Temporary CSI,raw_plus_latent,fpr5,CV FPR <= 5%,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,3453,1117,3453,1117,0.23253839227589115,0.24320586485956647,0.22102220356464386,0.22998370230197906,0.044869357191123574,0.05014483229811423,-0.23082860823970203,0.0,0.0,0.0,0.4844087626210298,0.5486450695340951,-0.06423630691306531,True,CV out-of-fold model score; not an input feature,0.23082860823970203
dynamic_csi,Temporary CSI,raw_plus_latent,fpr5,CV FPR <= 5%,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,3453,1117,3453,1117,2007.3718505647264,2007.9444941808415,2007.0,2007.0,4.27734011205674,4.125121768509244,-0.13503655389711225,0.0,0.0,0.0,0.4889288545589698,0.5346720368915644,-0.04574318233259461,True,CV cohort key year; not an input feature,0.13503655389711225
