model,track,track_label,track_folder,role,source_type,source_path,exists,bytes,owned_output_policy
raw_plus_latent,dynamic_csi,Temporary CSI,temporary_csi,main_nonraw,performance,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,True,461530,used_to_create_ticket_owned_test_outputs
raw_plus_latent,dynamic_csi,Temporary CSI,temporary_csi,main_nonraw,returns,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_returns_gross_and_net_by_tc.csv,True,31044993,used_to_create_ticket_owned_test_outputs
raw_plus_latent,dynamic_csi,Temporary CSI,temporary_csi,main_nonraw,weights,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_weights_by_crsp_universe.csv,True,2517399345,summarized_only_row_level_output_omitted_due_size
raw_plus_latent,dynamic_csi,Temporary CSI,temporary_csi,main_nonraw,thresholds,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_thresholds_by_crsp_universe.csv,True,889,used_to_create_ticket_owned_test_outputs
raw_plus_latent,dynamic_csi,Temporary CSI,temporary_csi,main_nonraw,run_status,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/run_status.csv,True,1055,used_to_create_ticket_owned_test_outputs
raw,dynamic_csi,Temporary CSI,temporary_csi,raw_comparator,performance,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_performance_gross_and_net_by_tc.csv,True,436927,used_to_create_ticket_owned_test_outputs
raw,dynamic_csi,Temporary CSI,temporary_csi,raw_comparator,returns,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_returns_gross_and_net_by_tc.csv,True,28612510,used_to_create_ticket_owned_test_outputs
raw,dynamic_csi,Temporary CSI,temporary_csi,raw_comparator,weights,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_weights_by_crsp_universe.csv,True,2319397084,summarized_only_row_level_output_omitted_due_size
raw,dynamic_csi,Temporary CSI,temporary_csi,raw_comparator,thresholds,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_thresholds_by_crsp_universe.csv,True,794,used_to_create_ticket_owned_test_outputs
raw,dynamic_csi,Temporary CSI,temporary_csi,raw_comparator,run_status,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/run_status.csv,True,979,used_to_create_ticket_owned_test_outputs
raw_plus_latent,permanent_csi,Permanent CSI,permanent_csi,main_nonraw,performance,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,True,138294,used_to_create_ticket_owned_test_outputs
raw_plus_latent,permanent_csi,Permanent CSI,permanent_csi,main_nonraw,returns,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_returns_gross_and_net_by_tc.csv,True,9396876,used_to_create_ticket_owned_test_outputs
raw_plus_latent,permanent_csi,Permanent CSI,permanent_csi,main_nonraw,weights,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_weights_by_crsp_universe.csv,True,732266507,summarized_only_row_level_output_omitted_due_size
raw_plus_latent,permanent_csi,Permanent CSI,permanent_csi,main_nonraw,thresholds,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_thresholds_by_crsp_universe.csv,True,891,used_to_create_ticket_owned_test_outputs
