"period","index_id","index_name","response_track","track_label","quintile","quintile_num","excluded_name_share","excluded_weight_share","retained_weight_share","active_vs_benchmark_weight","universe","track","transaction_cost_bps","excluded_name_share_pct","excluded_weight_share_pct","retained_weight_share_pct","active_vs_benchmark_pp","source"
"test","total_market","CRSP-like US Total Market","dynamic_csi","Dynamic CSI","Q1",1,0.0188200104284267,0.0316898523481256,0.590909129516096,0.0405630184712187,"Total","Temporary CSI",20,1.882,3.169,59.0909,4.0563,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","total_market","CRSP-like US Total Market","dynamic_csi","Dynamic CSI","Q2",2,0.0435221491698604,0.182372496161136,0.296387475857967,0.00810575354661285,"Total","Temporary CSI",20,4.3522,18.2372,29.6387,0.8106,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","total_market","CRSP-like US Total Market","dynamic_csi","Dynamic CSI","Q3",3,0.149553887415331,0.259845164735043,0.084880734526868,-0.0129317087844118,"Total","Temporary CSI",20,14.9554,25.9845,8.4881,-1.2932,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","total_market","CRSP-like US Total Market","dynamic_csi","Dynamic CSI","Q4",4,0.332508950551404,0.331368896351815,0.0259015442496591,-0.0223310413225691,"Total","Temporary CSI",20,33.2509,33.1369,2.5902,-2.2331,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","total_market","CRSP-like US Total Market","dynamic_csi","Dynamic CSI","Q5",5,0.455595002434979,0.19472359040388,0.00192111584940973,-0.0134060219108508,"Total","Temporary CSI",20,45.5595,19.4724,0.1921,-1.3406,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","total_market","CRSP-like US Total Market","permanent_csi","Permanent CSI","Q1",1,0.0117518529024187,0.0726137392171631,0.563114163376135,0.0127680523312582,"Total","Permanent CSI",20,1.1752,7.2614,56.3114,1.2768,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","total_market","CRSP-like US Total Market","permanent_csi","Permanent CSI","Q2",2,0.032902741540092,0.318229113024893,0.287419929412245,-0.000861792899109606,"Total","Permanent CSI",20,3.2903,31.8229,28.742,-0.0862,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","total_market","CRSP-like US Total Market","permanent_csi","Permanent CSI","Q3",3,0.0950701660080652,0.253816338796148,0.0937220669194866,-0.00409037639179325,"Total","Permanent CSI",20,9.507,25.3816,9.3722,-0.409,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","total_market","CRSP-like US Total Market","permanent_csi","Permanent CSI","Q4",4,0.253046216174722,0.179834244684101,0.0447087436408036,-0.00352384193142457,"Total","Permanent CSI",20,25.3046,17.9834,4.4709,-0.3524,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","total_market","CRSP-like US Total Market","permanent_csi","Permanent CSI","Q5",5,0.607229023374702,0.175506564277694,0.0110350966513298,-0.00429204110893074,"Total","Permanent CSI",20,60.7229,17.5507,1.1035,-0.4292,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","large_cap","CRSP-like US Large Cap","dynamic_csi","Dynamic CSI","Q1",1,0.00522542423631353,0.00367346689970374,0.300426673875947,0.013533592643764,"Large","Temporary CSI",20,0.5225,0.3673,30.0427,1.3534,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","large_cap","CRSP-like US Large Cap","dynamic_csi","Dynamic CSI","Q2",2,0.0142466095793348,0.018454569943882,0.228541388846728,0.00985813550742438,"Large","Temporary CSI",20,1.4247,1.8455,22.8541,0.9858,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","large_cap","CRSP-like US Large Cap","dynamic_csi","Dynamic CSI","Q3",3,0.0364406178056811,0.0669653493686965,0.193887519235102,0.005712526315363,"Large","Temporary CSI",20,3.6441,6.6965,19.3888,0.5713,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","large_cap","CRSP-like US Large Cap","dynamic_csi","Dynamic CSI","Q4",4,0.153776691822129,0.215795049341995,0.196478455837645,-0.000465478250149464,"Large","Temporary CSI",20,15.3777,21.5795,19.6478,-0.0465,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","large_cap","CRSP-like US Large Cap","dynamic_csi","Dynamic CSI","Q5",5,0.790310656556542,0.695111564445723,0.0806659622045775,-0.0286387762164019,"Large","Temporary CSI",20,79.0311,69.5112,8.0666,-2.8639,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
"test","large_cap","CRSP-like US Large Cap","permanent_csi","Permanent CSI","Q1",1,0,0,0.291907469006008,0.00501438777382476,"Large","Permanent CSI",20,0,0,29.1907,0.5014,"overlap_diagnostics/csi_exclusion_quintile_overlap.rds; overlap_diagnostics/csi_retained_quintile_exposure.rds; overlap_diagnostics/csi_active_quintile_exposure.rds"
