"period","index_id","universe","strategy_family","strategy","transaction_cost_bps","annualized_geometric_return","annualized_volatility","sharpe_ratio","max_drawdown","expected_shortfall_2p5","annualized_turnover_gross","source","geo_return_pct","annualized_volatility_pct","max_drawdown_pct","expected_shortfall_2p5_pct","annualized_turnover_pct"
"test","total_market","Total","Benchmark","Naive benchmark",0,0.137538181840451,0.12048970524396,0.889260199992562,-0.146165629786904,-0.0844380170644056,NA,"performance/benchmark_performance_summary.rds",13.7538,12.049,-14.6166,-8.4438,NA
"test","total_market","Total","Low-volatility comparator","LowVol Q1",20,0.139022137670843,0.0986202550066738,1.07559582479325,-0.0933842386393656,-0.0661459006918876,0.330730110220485,"performance/lowvol_performance_summary.rds",13.9022,9.862,-9.3384,-6.6146,33.073
"test","total_market","Total","Low-volatility comparator","LowVol Q2",20,0.152132242320009,0.14710595563356,0.840070883178139,-0.187865658537522,-0.0970326889424896,0.882268579481126,"performance/lowvol_performance_summary.rds",15.2132,14.7106,-18.7866,-9.7033,88.2269
"test","total_market","Total","Low-volatility comparator","LowVol Q3",20,0.110442143263732,0.177426270407544,0.51496967158758,-0.242769428443394,-0.124128234325945,1.27773927944447,"performance/lowvol_performance_summary.rds",11.0442,17.7426,-24.2769,-12.4128,127.7739
"test","total_market","Total","Low-volatility comparator","LowVol Q4",20,0.118176136112524,0.176452806117594,0.555658555171975,-0.239294178455615,-0.116634411238123,0.903564275028014,"performance/lowvol_performance_summary.rds",11.8176,17.6453,-23.9294,-11.6634,90.3564
"test","total_market","Total","High-volatility comparator","HighVol Q5",20,0.075744436288701,0.248248568926647,0.300060190982564,-0.306135501966985,-0.182811135521096,0.930611502795756,"performance/lowvol_performance_summary.rds",7.5744,24.8249,-30.6136,-18.2811,93.0612
"test","total_market","Total","Temporary CSI","CSI dynamic",20,0.141865086897648,0.115646283695793,0.954788107043246,-0.1371830940674,-0.0807069075642574,0.0946434065020217,"comparisons/csi_vs_lowvol_headline.rds",14.1865,11.5646,-13.7183,-8.0707,9.4643
"test","total_market","Total","Permanent CSI","CSI permanent",20,0.13851331506866,0.118718845438931,0.908044049206943,-0.143663859646722,-0.0831659098739265,0.0693899792786322,"comparisons/csi_vs_lowvol_headline.rds",13.8513,11.8719,-14.3664,-8.3166,6.939
"test","large_cap","Large","Benchmark","Naive benchmark",0,0.141823348514129,0.11596590119774,0.952101360091181,-0.138171287123861,-0.0802272099159324,NA,"performance/benchmark_performance_summary.rds",14.1823,11.5966,-13.8171,-8.0227,NA
"test","large_cap","Large","Low-volatility comparator","LowVol Q1",20,0.134534418257408,0.0908608311496365,1.1155702815957,-0.0792071271775516,-0.0655400208955346,0.644025862555917,"performance/lowvol_performance_summary.rds",13.4534,9.0861,-7.9207,-6.554,64.4026
"test","large_cap","Large","Low-volatility comparator","LowVol Q2",20,0.123074901718194,0.107886413482588,0.859781780077992,-0.110969366220454,-0.0699117787794602,1.44925721961697,"performance/lowvol_performance_summary.rds",12.3075,10.7886,-11.0969,-6.9912,144.9257
"test","large_cap","Large","Low-volatility comparator","LowVol Q3",20,0.173548114304908,0.135267061386911,1.03871022383243,-0.137192279101389,-0.0843912769442112,1.67912026170443,"performance/lowvol_performance_summary.rds",17.3548,13.5267,-13.7192,-8.4391,167.912
