track,response_track,period,model,model_label,index_id,index_name,threshold_method,threshold_label,lockout_years,exclusion_rule,rule_label,strategy_id,transaction_cost_bps,benchmark_geometric_return,strategy_gross_geometric_return,strategy_net_geometric_return,realized_alpha,gross_alpha_before_transaction_costs,tp_exclusion_gain,fp_exclusion_cost,retained_stock_reweighting_effect,transaction_cost_effect,compounding_geometric_adjustment,reconciled_alpha,reconciliation_error,reconciliation_pass,fn_missed_opportunity_diagnostic,tn_retained_diagnostic,fn_benchmark_weight,fn_filtered_weight,tn_benchmark_weight,tn_filtered_weight,fp_benchmark_weight,tp_benchmark_weight,annualized_turnover_gross,mean_monthly_turnover_gross,source_performance_file,source_decomposition_file,attribution_formula
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,CRSP-like US Large Cap,fpr1,CV FPR <= 1%,1,lockout_1yr,1yr lockout,fpr1_1yr,0,0.1102200976,0.1102345144,0.1102345144,0.0000144169,0.0000144169,0.0000000000,-0.0000022383,0.0000080859,0.0000000000,0.0000085693,0.0000144169,0.00000000000000,true,-0.0000004416,0.0000085275,0.0009765639,0.0009769332,0.6678653268,0.6679646733,0.0000966460,0.0000000000,0.1767598479,0.0147299873,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\index_performance_gross_and_net_by_tc.csv,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\error_cost_decomposition_by_crsp_universe.csv,TP exclusion gain + FP exclusion cost + retained-stock reweighting effect + transaction-cost effect + compounding/geometric adjustment = realized alpha
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,CRSP-like US Large Cap,fpr1,CV FPR <= 1%,1,lockout_1yr,1yr lockout,fpr1_1yr,5,0.1102200976,0.1102345144,0.1101365663,-0.0000835313,0.0000144169,0.0000000000,-0.0000022383,0.0000080859,-0.0000979482,0.0000085693,-0.0000835313,0.00000000000000,true,-0.0000004416,0.0000085275,0.0009765639,0.0009769332,0.6678653268,0.6679646733,0.0000966460,0.0000000000,0.1767598479,0.0147299873,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\index_performance_gross_and_net_by_tc.csv,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\error_cost_decomposition_by_crsp_universe.csv,TP exclusion gain + FP exclusion cost + retained-stock reweighting effect + transaction-cost effect + compounding/geometric adjustment = realized alpha
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,CRSP-like US Large Cap,fpr1,CV FPR <= 1%,1,lockout_1yr,1yr lockout,fpr1_1yr,10,0.1102200976,0.1102345144,0.1100386122,-0.0001814854,0.0000144169,0.0000000000,-0.0000022383,0.0000080859,-0.0001959023,0.0000085693,-0.0001814854,0.00000000000000,true,-0.0000004416,0.0000085275,0.0009765639,0.0009769332,0.6678653268,0.6679646733,0.0000966460,0.0000000000,0.1767598479,0.0147299873,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\index_performance_gross_and_net_by_tc.csv,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\error_cost_decomposition_by_crsp_universe.csv,TP exclusion gain + FP exclusion cost + retained-stock reweighting effect + transaction-cost effect + compounding/geometric adjustment = realized alpha
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,CRSP-like US Large Cap,fpr1,CV FPR <= 1%,1,lockout_1yr,1yr lockout,fpr1_1yr,20,0.1102200976,0.1102345144,0.1098426861,-0.0003774114,0.0000144169,0.0000000000,-0.0000022383,0.0000080859,-0.0003918283,0.0000085693,-0.0003774114,0.00000000000000,true,-0.0000004416,0.0000085275,0.0009765639,0.0009769332,0.6678653268,0.6679646733,0.0000966460,0.0000000000,0.1767598479,0.0147299873,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\index_performance_gross_and_net_by_tc.csv,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\error_cost_decomposition_by_crsp_universe.csv,TP exclusion gain + FP exclusion cost + retained-stock reweighting effect + transaction-cost effect + compounding/geometric adjustment = realized alpha
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,CRSP-like US Large Cap,fpr1,CV FPR <= 1%,2,lockout_2yr,2yr lockout,fpr1_2yr,0,0.1102200976,0.1102924255,0.1102924255,0.0000723280,0.0000723280,0.0000000000,0.0000397085,0.0000177661,0.0000000000,0.0000148534,0.0000723280,0.00000000000000,true,-0.0000005236,0.0000182897,0.0009765639,0.0009771234,0.6677644312,0.6679640355,0.0001975417,0.0000000000,0.1765940277,0.0147161690,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\index_performance_gross_and_net_by_tc.csv,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\error_cost_decomposition_by_crsp_universe.csv,TP exclusion gain + FP exclusion cost + retained-stock reweighting effect + transaction-cost effect + compounding/geometric adjustment = realized alpha
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,CRSP-like US Large Cap,fpr1,CV FPR <= 1%,2,lockout_2yr,2yr lockout,fpr1_2yr,5,0.1102200976,0.1102924255,0.1101945590,-0.0000255386,0.0000723280,0.0000000000,0.0000397085,0.0000177661,-0.0000978666,0.0000148534,-0.0000255386,0.00000000000000,true,-0.0000005236,0.0000182897,0.0009765639,0.0009771234,0.6677644312,0.6679640355,0.0001975417,0.0000000000,0.1765940277,0.0147161690,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\index_performance_gross_and_net_by_tc.csv,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\error_cost_decomposition_by_crsp_universe.csv,TP exclusion gain + FP exclusion cost + retained-stock reweighting effect + transaction-cost effect + compounding/geometric adjustment = realized alpha
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,CRSP-like US Large Cap,fpr1,CV FPR <= 1%,2,lockout_2yr,2yr lockout,fpr1_2yr,10,0.1102200976,0.1102924255,0.1100966865,-0.0001234111,0.0000723280,0.0000000000,0.0000397085,0.0000177661,-0.0001957390,0.0000148534,-0.0001234111,0.00000000000000,true,-0.0000005236,0.0000182897,0.0009765639,0.0009771234,0.6677644312,0.6679640355,0.0001975417,0.0000000000,0.1765940277,0.0147161690,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\index_performance_gross_and_net_by_tc.csv,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\error_cost_decomposition_by_crsp_universe.csv,TP exclusion gain + FP exclusion cost + retained-stock reweighting effect + transaction-cost effect + compounding/geometric adjustment = realized alpha
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,CRSP-like US Large Cap,fpr1,CV FPR <= 1%,2,lockout_2yr,2yr lockout,fpr1_2yr,20,0.1102200976,0.1102924255,0.1099009236,-0.0003191739,0.0000723280,0.0000000000,0.0000397085,0.0000177661,-0.0003915019,0.0000148534,-0.0003191739,0.00000000000000,true,-0.0000005236,0.0000182897,0.0009765639,0.0009771234,0.6677644312,0.6679640355,0.0001975417,0.0000000000,0.1765940277,0.0147161690,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\index_performance_gross_and_net_by_tc.csv,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\error_cost_decomposition_by_crsp_universe.csv,TP exclusion gain + FP exclusion cost + retained-stock reweighting effect + transaction-cost effect + compounding/geometric adjustment = realized alpha
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,CRSP-like US Large Cap,fpr1,CV FPR <= 1%,3,lockout_3yr,3yr lockout,fpr1_3yr,0,0.1102200976,0.1103378846,0.1103378846,0.0001177870,0.0001177870,0.0000145635,0.0000428329,0.0000183517,0.0000000000,0.0000420390,0.0001177870,0.00000000000000,true,-0.0000010010,0.0000193527,0.0009575055,0.0009585198,0.6677053793,0.6679824410,0.0002565935,0.0000190584,0.1764553477,0.0147046123,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\index_performance_gross_and_net_by_tc.csv,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\error_cost_decomposition_by_crsp_universe.csv,TP exclusion gain + FP exclusion cost + retained-stock reweighting effect + transaction-cost effect + compounding/geometric adjustment = realized alpha
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,CRSP-like US Large Cap,fpr1,CV FPR <= 1%,3,lockout_3yr,3yr lockout,fpr1_3yr,5,0.1102200976,0.1103378846,0.1102400941,0.0000199966,0.0001177870,0.0000145635,0.0000428329,0.0000183517,-0.0000977904,0.0000420390,0.0000199966,0.00000000000000,true,-0.0000010010,0.0000193527,0.0009575055,0.0009585198,0.6677053793,0.6679824410,0.0002565935,0.0000190584,0.1764553477,0.0147046123,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\index_performance_gross_and_net_by_tc.csv,03_Data_Output\7_IndexConstructionValidation\nonraw_index_suite\raw\3_Modelling_Results\Necessary\temporary_csi\11c_index_revised\error_cost_decomposition_by_crsp_universe.csv,TP exclusion gain + FP exclusion cost + retained-stock reweighting effect + transaction-cost effect + compounding/geometric adjustment = realized alpha
