track,response_track,period,model,model_label,index_id,threshold_method,lockout_years,exclusion_rule,strategy_id,fn_missed_opportunity_diagnostic,tn_retained_diagnostic,retained_stock_reweighting_effect,fn_benchmark_weight,fn_filtered_weight,tn_benchmark_weight,tn_filtered_weight,note
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,fpr1,1,lockout_1yr,fpr1_1yr,-0.0000004416,0.0000085275,0.0000080859,0.0009765639,0.0009769332,0.6678653268,0.6679646733,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,fpr1,2,lockout_2yr,fpr1_2yr,-0.0000005236,0.0000182897,0.0000177661,0.0009765639,0.0009771234,0.6677644312,0.6679640355,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,fpr1,3,lockout_3yr,fpr1_3yr,-0.0000010010,0.0000193527,0.0000183517,0.0009575055,0.0009585198,0.6677053793,0.6679824410,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,fpr1,5,lockout_5yr,fpr1_5yr,-0.0000013569,0.0000418302,0.0000404734,0.0009314600,0.0009330061,0.6675335043,0.6680073841,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,fpr3,1,lockout_1yr,fpr3_1yr,-0.0000008815,0.0000923362,0.0000914547,0.0009721499,0.0009730595,0.6675428617,0.6679722690,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,fpr3,2,lockout_2yr,fpr3_2yr,-0.0000010119,0.0001630749,0.0001620630,0.0008924119,0.0008934645,0.6671722615,0.6680505550,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,fpr3,3,lockout_3yr,fpr3_3yr,-0.0000017596,0.0001724343,0.0001706747,0.0008650118,0.0008666949,0.6668263900,0.6680782714,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,fpr3,5,lockout_5yr,fpr3_5yr,-0.0000026178,0.0002582992,0.0002556815,0.0008351416,0.0008379646,0.6661649417,0.6681051339,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,fpr5,1,lockout_1yr,fpr5_1yr,-0.0000008610,0.0001919573,0.0001910964,0.0009658959,0.0009669131,0.6670944525,0.6679922549,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,fpr5,2,lockout_2yr,fpr5_2yr,-0.0000010954,0.0003196350,0.0003185396,0.0008735779,0.0008747134,0.6662805426,0.6680855947,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,fpr5,3,lockout_3yr,fpr5_3yr,-0.0000019203,0.0003868595,0.0003849392,0.0008344332,0.0008363136,0.6654837833,0.6681264731,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,fpr5,5,lockout_5yr,fpr5_5yr,-0.0000049701,0.0005480910,0.0005431209,0.0007707550,0.0007755484,0.6638941179,0.6681831700,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,youden,1,lockout_1yr,youden_1yr,-0.0000092975,0.0027564412,0.0027471437,0.0006668684,0.0006761983,0.6509421978,0.6682945193,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,youden,2,lockout_2yr,youden_2yr,-0.0000192707,0.0042887886,0.0042695180,0.0005939789,0.0006109899,0.6389065560,0.6683881737,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,youden,3,lockout_3yr,youden_3yr,-0.0000256923,0.0055861463,0.0055604540,0.0005681076,0.0005923537,0.6287240158,0.6684069240,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,large_cap,youden,5,lockout_5yr,youden_5yr,-0.0000529869,0.0074514351,0.0073984482,0.0005034436,0.0005467702,0.6111213141,0.6685146651,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,fpr1,1,lockout_1yr,fpr1_1yr,-0.0000023349,0.0000363171,0.0000339822,0.0019246954,0.0019267810,0.6652622692,0.6656189467,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,fpr1,2,lockout_2yr,fpr1_2yr,-0.0000024582,0.0000846027,0.0000821445,0.0019246954,0.0019275559,0.6648938246,0.6656156156,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,fpr1,3,lockout_3yr,fpr1_3yr,-0.0000042357,0.0001192297,0.0001149940,0.0018544881,0.0018594060,0.6645591619,0.6656814203,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,fpr1,5,lockout_5yr,fpr1_5yr,-0.0000084096,0.0002259877,0.0002175781,0.0017070192,0.0017179994,0.6636334817,0.6658153428,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,fpr3,1,lockout_1yr,fpr3_1yr,-0.0000043015,0.0002984002,0.0002940987,0.0018997306,0.0019057956,0.6641615664,0.6656606400,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,fpr3,2,lockout_2yr,fpr3_2yr,-0.0000057696,0.0005199342,0.0005141646,0.0017256446,0.0017342554,0.6630161369,0.6658248647,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,fpr3,3,lockout_3yr,fpr3_3yr,-0.0000082402,0.0006389937,0.0006307535,0.0016081499,0.0016192587,0.6617601062,0.6659434227,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,fpr3,5,lockout_5yr,fpr3_5yr,-0.0000178809,0.0008243028,0.0008064219,0.0014389106,0.0014611743,0.6595286737,0.6660837234,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,fpr5,1,lockout_1yr,fpr5_1yr,-0.0000047450,0.0007362076,0.0007314625,0.0018643088,0.0018718424,0.6628221057,0.6656888664,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,fpr5,2,lockout_2yr,fpr5_2yr,-0.0000071534,0.0011381110,0.0011309576,0.0016189637,0.0016285028,0.6606659756,0.6659436695,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,fpr5,3,lockout_3yr,fpr5_3yr,-0.0000104663,0.0013482084,0.0013377421,0.0014349288,0.0014474817,0.6587069119,0.6661403302,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,fpr5,5,lockout_5yr,fpr5_5yr,-0.0000288952,0.0015141571,0.0014852619,0.0012526971,0.0012848082,0.6549584109,0.6662869402,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,youden,1,lockout_1yr,youden_1yr,-0.0000264659,0.0075738519,0.0075473860,0.0008855099,0.0009245524,0.6272946874,0.6667022778,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,youden,2,lockout_2yr,youden_2yr,-0.0000514267,0.0099903359,0.0099389092,0.0006512323,0.0007015528,0.6068208133,0.6669031959,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,youden,3,lockout_3yr,youden_3yr,-0.0000558810,0.0117678524,0.0117119714,0.0005045775,0.0005686176,0.5904772048,0.6670258977,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,mid_cap,youden,5,lockout_5yr,youden_5yr,-0.0000836330,0.0146439547,0.0145603217,0.0003079379,0.0003654323,0.5648472807,0.6672902419,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
temporary CSI,dynamic_csi,full,raw,Expanded Dataset,small_cap,fpr1,1,lockout_1yr,fpr1_1yr,-0.0000048419,0.0001639822,0.0001591403,0.0059400702,0.0059453761,0.6592422280,0.6599800754,FN/TN are diagnostics; their active retained-weight effect enters realized alpha through retained_stock_reweighting_effect.
