track,period,model,model_label,transaction_cost_bps,n_configurations,mean_realized_alpha,median_realized_alpha,max_realized_alpha,max_alpha_index_id,max_alpha_threshold_method,max_alpha_lockout_years,max_alpha_exclusion_rule,max_alpha_strategy_id,mean_tp_exclusion_gain,mean_fp_exclusion_cost,mean_retained_stock_reweighting_effect,mean_transaction_cost_effect,mean_compounding_geometric_adjustment
permanent CSI,full,fund,Base Dataset,0,16,0.0004231309,0.0007425438,0.0028339505,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0003778112,-0.0082928930,0.0067788284,0.0000000000,0.0015593844
permanent CSI,full,fund,Base Dataset,10,16,-0.0001266768,0.0002087449,0.0017611394,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0003778112,-0.0082928930,0.0067788284,-0.0005498077,0.0015593844
permanent CSI,full,fund,Base Dataset,20,16,-0.0006762226,-0.0004355514,0.0009064351,total_market,fpr5,0,permanent_removal,fpr5_permanent,0.0003778112,-0.0082928930,0.0067788284,-0.0010993536,0.0015593844
permanent CSI,full,fund,Base Dataset,5,16,0.0001481943,0.0004834801,0.0022974544,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0003778112,-0.0082928930,0.0067788284,-0.0002749366,0.0015593844
permanent CSI,insample,fund,Base Dataset,0,16,0.0007030179,0.0005572540,0.0016176294,small_cap,youden,0,permanent_removal,youden_permanent,0.0005183066,-0.0057122522,0.0042557485,0.0000000000,0.0016412150
permanent CSI,insample,fund,Base Dataset,10,16,0.0001214927,0.0001360374,0.0007844146,small_cap,youden,0,permanent_removal,youden_permanent,0.0005183066,-0.0057122522,0.0042557485,-0.0005815252,0.0016412150
permanent CSI,insample,fund,Base Dataset,20,16,-0.0004597794,-0.0003723307,0.0001949300,total_market,fpr3,0,permanent_removal,fpr3_permanent,0.0005183066,-0.0057122522,0.0042557485,-0.0011627973,0.0016412150
permanent CSI,insample,fund,Base Dataset,5,16,0.0004122237,0.0004172659,0.0012009727,small_cap,youden,0,permanent_removal,youden_permanent,0.0005183066,-0.0057122522,0.0042557485,-0.0002907943,0.0016412150
permanent CSI,oos,fund,Base Dataset,0,16,-0.0009918785,0.0009666879,0.0073855444,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0001425398,-0.0163408854,0.0139182103,0.0000000000,0.0012882569
permanent CSI,oos,fund,Base Dataset,10,16,-0.0015372993,0.0004153163,0.0062348050,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0001425398,-0.0163408854,0.0139182103,-0.0005454208,0.0012882569
permanent CSI,oos,fund,Base Dataset,20,16,-0.0020823818,-0.0000529523,0.0050849438,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0001425398,-0.0163408854,0.0139182103,-0.0010905033,0.0012882569
permanent CSI,oos,fund,Base Dataset,5,16,-0.0012646312,0.0006614038,0.0068100649,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0001425398,-0.0163408854,0.0139182103,-0.0002727527,0.0012882569
permanent CSI,test,fund,Base Dataset,0,16,0.0012788808,0.0011627794,0.0030133266,small_cap,youden,0,permanent_removal,youden_permanent,0.0002155038,-0.0064695439,0.0061478886,0.0000000000,0.0013850322
permanent CSI,test,fund,Base Dataset,10,16,0.0008313816,0.0007206487,0.0026463057,total_market,youden,0,permanent_removal,youden_permanent,0.0002155038,-0.0064695439,0.0061478886,-0.0004474992,0.0013850322
permanent CSI,test,fund,Base Dataset,20,16,0.0003840982,0.0004460651,0.0025597263,total_market,youden,0,permanent_removal,youden_permanent,0.0002155038,-0.0064695439,0.0061478886,-0.0008947827,0.0013850322
permanent CSI,test,fund,Base Dataset,5,16,0.0010551043,0.0009106344,0.0026895972,total_market,youden,0,permanent_removal,youden_permanent,0.0002155038,-0.0064695439,0.0061478886,-0.0002237766,0.0013850322
permanent CSI,full,latent_raw,Latent Dataset (VAE),0,16,0.0003374875,0.0003143772,0.0014067263,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0003990883,-0.0093913299,0.0080274829,0.0000000000,0.0013022461
permanent CSI,full,latent_raw,Latent Dataset (VAE),10,16,-0.0002129164,-0.0001781850,0.0003419039,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0003990883,-0.0093913299,0.0080274829,-0.0005504039,0.0013022461
permanent CSI,full,latent_raw,Latent Dataset (VAE),20,16,-0.0007630583,-0.0007944322,0.0001667451,total_market,fpr5,0,permanent_removal,fpr5_permanent,0.0003990883,-0.0093913299,0.0080274829,-0.0011005458,0.0013022461
permanent CSI,full,latent_raw,Latent Dataset (VAE),5,16,0.0000622528,0.0000790012,0.0008742259,mid_cap,fpr5,0,permanent_removal,fpr5_permanent,0.0003990883,-0.0093913299,0.0080274829,-0.0002752347,0.0013022461
permanent CSI,insample,latent_raw,Latent Dataset (VAE),0,16,0.0001488791,0.0000800676,0.0029592377,mid_cap,youden,0,permanent_removal,youden_permanent,0.0005417725,-0.0064854106,0.0049141039,0.0000000000,0.0011784132
permanent CSI,insample,latent_raw,Latent Dataset (VAE),10,16,-0.0004336948,-0.0003012681,0.0018794508,mid_cap,youden,0,permanent_removal,youden_permanent,0.0005417725,-0.0064854106,0.0049141039,-0.0005825739,0.0011784132
