track,period,model,index_id,threshold_method,lockout_years,exclusion_rule,strategy_id,transaction_cost_bps,realized_alpha,reconciled_alpha,reconciliation_error,reconciliation_pass
temporary CSI,full,raw,large_cap,fpr1,1,lockout_1yr,fpr1_1yr,0,0.0000144169,0.0000144169,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,1,lockout_1yr,fpr1_1yr,5,-0.0000835313,-0.0000835313,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,1,lockout_1yr,fpr1_1yr,10,-0.0001814854,-0.0001814854,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,1,lockout_1yr,fpr1_1yr,20,-0.0003774114,-0.0003774114,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,2,lockout_2yr,fpr1_2yr,0,0.0000723280,0.0000723280,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,2,lockout_2yr,fpr1_2yr,5,-0.0000255386,-0.0000255386,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,2,lockout_2yr,fpr1_2yr,10,-0.0001234111,-0.0001234111,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,2,lockout_2yr,fpr1_2yr,20,-0.0003191739,-0.0003191739,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,3,lockout_3yr,fpr1_3yr,0,0.0001177870,0.0001177870,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,3,lockout_3yr,fpr1_3yr,5,0.0000199966,0.0000199966,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,3,lockout_3yr,fpr1_3yr,10,-0.0000777998,-0.0000777998,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,3,lockout_3yr,fpr1_3yr,20,-0.0002734105,-0.0002734105,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,5,lockout_5yr,fpr1_5yr,0,0.0001284004,0.0001284004,0.00000000000000,true
temporary CSI,full,raw,large_cap,fpr1,5,lockout_5yr,fpr1_5yr,5,0.0000307342,0.0000307342,0.00000000000000,true
