analysis_family,run_id,track,model_key,C,M,T,split,universe,transaction_cost_bps,threshold_method,lockout_years,ap,auc,recall_fpr1,recall_fpr3,recall_fpr5,brier,cv_ap,cv_auc,cv_recall_fpr3,index_alpha,index_return,index_sharpe,max_drawdown,annualized_turnover_gross,transaction_cost_drag,best_any_alpha,best_any_sharpe,best_any_max_drawdown,mean_full_alpha,selected_role,source_model,source_index,linkage_note
cmt_sensitivity,C090_M020_T018,temporary_csi,raw,-0.9,-0.2,18,oos,total_market,not_available_native_cmt,youden,5,0.2743798497137193,0.9110959425392384,,0.316315205327414,,,,,,0.0022587653128984,0.111867229530652,0.600929785678636,,,,0.0032488710580556,0.501009456831651,-0.515289702024837,0.0004850583434,11C TM,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv,Clean by run_id for 24 completed/reused temporary-CSI CMT runs.
cmt_sensitivity,C060_M030_T028,temporary_csi,raw,-0.6,-0.3,28,oos,total_market,not_available_native_cmt,fpr3,5,0.2003247736937806,0.8795643833461513,,0.228125,,,,,,0.0019614648937116,0.111569929111466,0.580233830055487,,,,0.00332860642247557,0.562467195921231,-0.54155224091917,0.0002652990912,,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv,Clean by run_id for 24 completed/reused temporary-CSI CMT runs.
cmt_sensitivity,C090_M030_T028,temporary_csi,raw,-0.9,-0.3,28,oos,total_market,not_available_native_cmt,youden,3,0.1561406682913778,0.9219831881064574,,0.3296398891966759,,,,,,0.001763897772935,0.111372361990689,0.596766764625322,,,,0.00192581824587634,0.610359577973034,-0.50146504893991,-0.0002271700103,,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv,Clean by run_id for 24 completed/reused temporary-CSI CMT runs.
cmt_sensitivity,C090_M000_T012,temporary_csi,raw,-0.9,0.0,12,oos,total_market,not_available_native_cmt,youden,3,0.5566333407080201,0.9196034304496846,,0.4065464895635673,,,,,,0.0016854343544205,0.111293898572175,0.589848585579438,,,,0.00288184480268994,0.495988390837267,-0.524850955957119,0.0004112280312,Composite,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv,Clean by run_id for 24 completed/reused temporary-CSI CMT runs.
cmt_sensitivity,C080_M030_T018,temporary_csi,raw,-0.8,-0.3,18,oos,total_market,not_available_native_cmt,youden,5,0.2781943211994251,0.906743661223948,,0.3078880407124681,,,,,,0.0015336963676835,0.111142160585437,0.598501334768524,,,,0.0019578285849684,0.496141032590637,-0.515737681943955,0.0003859103565,,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv,Clean by run_id for 24 completed/reused temporary-CSI CMT runs.
cmt_sensitivity,C090_M020_T012,temporary_csi,raw,-0.9,-0.2,12,oos,total_market,not_available_native_cmt,youden,5,0.3854611397624424,0.9133808160027356,,0.3399267399267399,,,,,,0.0014611924085683,0.111069656626322,0.591933429387564,,,,0.00242891324892525,0.494750371815262,-0.524842290810969,0.0002875093932,,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv,Clean by run_id for 24 completed/reused temporary-CSI CMT runs.
cmt_sensitivity,C060_M020_T018,temporary_csi,raw,-0.6,-0.2,18,oos,total_market,not_available_native_cmt,youden,3,0.319278129577127,0.8696985456890961,,0.1880794701986755,,,,,,0.0014475253837578,0.111055989601512,0.597911251964116,,,,0.00407008232468664,0.509466485454323,-0.504816066892052,0.0004644900944,,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv,Clean by run_id for 24 completed/reused temporary-CSI CMT runs.
cmt_sensitivity,C060_M030_T018,temporary_csi,raw,-0.6,-0.3,18,oos,total_market,not_available_native_cmt,youden,3,0.2519559864383183,0.8698464567192763,,0.2143579373104145,,,,,,0.0012444075289144,0.110852871746668,0.595822970569784,,,,0.00249914589251898,0.558047365971917,-0.545936860209476,9.606282587e-05,,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv,Clean by run_id for 24 completed/reused temporary-CSI CMT runs.
cmt_sensitivity,C060_M000_T028,temporary_csi,raw,-0.6,0.0,28,oos,total_market,not_available_native_cmt,fpr3,5,0.3064090235606204,0.8519212019026927,,0.1984732824427481,,,,,,0.0012085356308206,0.110816999848575,0.575240948423765,,,,0.00661927115902627,0.514174020011338,-0.516202488296316,9.426722781e-05,,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv,Clean by run_id for 24 completed/reused temporary-CSI CMT runs.
cmt_sensitivity,C090_M000_T018,temporary_csi,raw,-0.9,0.0,18,oos,total_market,not_available_native_cmt,youden,5,0.3782581027514098,0.9056510353466224,,0.3172205438066465,,,,,,0.0011951082207606,0.110803572438515,0.59074702596009,,,,0.0011979968610849,0.488599049801897,-0.521996458027719,0.0001890277445,,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv,Clean by run_id for 24 completed/reused temporary-CSI CMT runs.
