analysis_family,subgroup,n_pairs,missing_or_non_numeric_pairs,model_metric,index_outcome,pearson_r,spearman_rho,strength_by_abs_pearson,note
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,ap,index_alpha,-0.042425,-0.100870,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,ap,index_return,-0.042425,-0.100870,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,ap,index_sharpe,-0.133127,-0.151304,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,ap,best_any_alpha,0.152055,0.266087,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,ap,best_any_sharpe,-0.422932,-0.279130,moderate,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,ap,best_any_max_drawdown,0.179338,0.133913,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,ap,mean_full_alpha,-0.214123,-0.060000,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,auc,index_alpha,0.278420,0.297391,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,auc,index_return,0.278420,0.297391,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,auc,index_sharpe,0.432793,0.380000,moderate,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,auc,best_any_alpha,-0.415634,-0.199130,moderate,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,auc,best_any_sharpe,-0.117499,-0.333913,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,auc,best_any_max_drawdown,0.061370,-0.045217,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,auc,mean_full_alpha,0.448556,0.461739,moderate,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
cmt_sensitivity,24 completed/reused temporary-CSI CMT runs; total-market best strategy,24,0,recall_fpr3,index_alpha,0.336036,0.320870,weak,Clean run_id linkage; no native turnover/cost fields in CMT sensitivity summary.
