analysis_family,column,rows_total,numeric_present,missing_or_non_numeric
cmt_sensitivity,ap,24,24,0
cmt_sensitivity,auc,24,24,0
cmt_sensitivity,recall_fpr3,24,24,0
cmt_sensitivity,index_alpha,24,24,0
cmt_sensitivity,index_return,24,24,0
cmt_sensitivity,index_sharpe,24,24,0
cmt_sensitivity,best_any_alpha,24,24,0
cmt_sensitivity,best_any_sharpe,24,24,0
cmt_sensitivity,best_any_max_drawdown,24,24,0
cmt_sensitivity,mean_full_alpha,24,24,0
model_suite,ap,32,32,0
model_suite,auc,32,32,0
model_suite,recall_fpr1,32,32,0
model_suite,recall_fpr3,32,32,0
model_suite,recall_fpr5,32,32,0
model_suite,brier,32,32,0
model_suite,cv_ap,32,32,0
model_suite,cv_auc,32,32,0
model_suite,cv_recall_fpr3,32,32,0
model_suite,index_alpha,32,32,0
model_suite,index_return,32,32,0
model_suite,index_sharpe,32,32,0
model_suite,max_drawdown,32,32,0
model_suite,annualized_turnover_gross,32,32,0
model_suite,transaction_cost_drag,32,32,0
