slide_number,slide_title,track,universe,strategy,cost_bps,displayed_value,source_value,difference_pp,source_path,status,interpretation
25,Impact of transaction costs,Temporary CSI,Total,AG Base Dataset; Youden 3y,5,+0.43pp,+0.4293pp,+0.0007,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,Valid under rounding.
25,Impact of transaction costs,Temporary CSI,Total,AG Base Dataset; Youden 3y,10,+0.43pp,+0.4272pp,+0.0028,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,Valid under rounding.
25,Impact of transaction costs,Temporary CSI,Total,AG Base Dataset; Youden 3y,20,+0.42pp,+0.4231pp,-0.0031,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,Valid under rounding.
25,Impact of transaction costs,Temporary CSI,Large,AG Base Dataset; Youden 3y,5,+0.15pp,+0.1527pp,-0.0027,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,Valid under rounding.
25,Impact of transaction costs,Temporary CSI,Large,AG Base Dataset; Youden 3y,10,+0.15pp,+0.1522pp,-0.0022,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,Valid under rounding.
25,Impact of transaction costs,Temporary CSI,Large,AG Base Dataset; Youden 3y,20,+0.15pp,+0.1513pp,-0.0013,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,Valid under rounding.
25,Impact of transaction costs,Temporary CSI,Mid,AG Base Dataset; FPR5 5y,5,+0.51pp,+0.5072pp,+0.0028,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,Valid under rounding.
25,Impact of transaction costs,Temporary CSI,Mid,AG Base Dataset; FPR5 5y,10,+0.51pp,+0.5075pp,+0.0025,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,Valid under rounding.
25,Impact of transaction costs,Temporary CSI,Mid,AG Base Dataset; FPR5 5y,20,+0.51pp,+0.5082pp,+0.0018,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,Valid under rounding.
25,Impact of transaction costs,Temporary CSI,Small,AG Exp. Dataset + VAE; Youden 3y,5,+0.63pp,+0.6308pp,-0.0008,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,Valid under rounding.
25,Impact of transaction costs,Temporary CSI,Small,AG Exp. Dataset + VAE; Youden 3y,10,+0.63pp,+0.6256pp,+0.0044,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,Valid under rounding.
25,Impact of transaction costs,Temporary CSI,Small,AG Exp. Dataset + VAE; Youden 3y,20,+0.62pp,+0.6153pp,+0.0047,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,Valid under rounding.
