ticket_id,slide_no,slide_title,element,source_file,filters,source_rows_or_fields,display_value,provenance_note
AE-PRES-INDEX-REV-005,26,Permanent CSI Test-Set Index Results at 10 bps,validation package,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_grid_summary.csv,"track=permanent_csi; model=raw_plus_latent; period=test","performance_rows=80; model_performance_rows=64; benchmark_rows=16; universes=large_cap|mid_cap|small_cap|total_market; transaction_cost_bps=0|5|10|20; oos_rows=0","test-only permanent_csi raw_plus_latent package","Read-only source; no data regenerated."
AE-PRES-INDEX-REV-005,26,Permanent CSI Test-Set Index Results at 10 bps,validation check,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_validation_checks.csv,"check=permanent_csi_raw_plus_latent_performance_periods","status=pass; observed=test","period=test confirmed","Read-only source; no data regenerated."
AE-PRES-INDEX-REV-005,26,Permanent CSI Test-Set Index Results at 10 bps,validation check,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_validation_checks.csv,"check=permanent_csi_raw_plus_latent_performance_oos_rows","status=pass; observed=0","zero OOS rows","Read-only source; no data regenerated."
AE-PRES-INDEX-REV-005,26,Permanent CSI Test-Set Index Results at 10 bps,Total benchmark,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,"track=permanent_csi; period=test; index_id=total_market; source_model_family=raw_plus_latent; model_key=bench; transaction_cost_bps=10","net_annualized_geometric_return=0.137460246576528; net_annualized_sd=0.12048795421052; net_sharpe_ratio=0.888697195365826; net_max_drawdown=-0.146181295950024; net_expected_shortfall_2p5=-0.0844464988548859","13.75%; 12.05%; 0.889; -14.62%; -8.44%; 0.00pp","Benchmark row from isolated test performance file."
AE-PRES-INDEX-REV-005,26,Permanent CSI Test-Set Index Results at 10 bps,Total best strategy,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,"track=permanent_csi; period=test; index_id=total_market; model_key=raw_plus_latent; threshold_method=youden; strategy_id=youden_permanent; transaction_cost_bps=10","net_annualized_geometric_return=0.141927837870145; net_annualized_sd=0.109613080347628; net_sharpe_ratio=1.00163510855331; net_max_drawdown=-0.127868245923092; net_expected_shortfall_2p5=-0.0750622401282448; net_difference_versus_benchmark=0.0044675912936169","14.19%; 10.96%; 1.002; -12.79%; -7.51%; +0.45pp","Best non-benchmark row by net_difference_versus_benchmark for Total."
AE-PRES-INDEX-REV-005,26,Permanent CSI Test-Set Index Results at 10 bps,Large benchmark,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,"track=permanent_csi; period=test; index_id=large_cap; source_model_family=raw_plus_latent; model_key=bench; transaction_cost_bps=10","net_annualized_geometric_return=0.141697989247662; net_annualized_sd=0.115962460721128; net_sharpe_ratio=0.951169725523267; net_max_drawdown=-0.138196419740047; net_expected_shortfall_2p5=-0.0802407636160065","14.17%; 11.60%; 0.951; -13.82%; -8.02%; 0.00pp","Benchmark row from isolated test performance file."
AE-PRES-INDEX-REV-005,26,Permanent CSI Test-Set Index Results at 10 bps,Large best strategy,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,"track=permanent_csi; period=test; index_id=large_cap; model_key=raw_plus_latent; threshold_method=youden; strategy_id=youden_permanent; transaction_cost_bps=10","net_annualized_geometric_return=0.144278724017779; net_annualized_sd=0.107189624203176; net_sharpe_ratio=1.0412121897333; net_max_drawdown=-0.122190672715751; net_expected_shortfall_2p5=-0.0716417427248545; net_difference_versus_benchmark=0.0025807347701172","14.43%; 10.72%; 1.041; -12.22%; -7.16%; +0.26pp","Best non-benchmark row by net_difference_versus_benchmark for Large."
AE-PRES-INDEX-REV-005,26,Permanent CSI Test-Set Index Results at 10 bps,Mid benchmark,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,"track=permanent_csi; period=test; index_id=mid_cap; source_model_family=raw_plus_latent; model_key=bench; transaction_cost_bps=10","net_annualized_geometric_return=0.137293207561913; net_annualized_sd=0.128464357004276; net_sharpe_ratio=0.839780842556347; net_max_drawdown=-0.153181082862375; net_expected_shortfall_2p5=-0.0869182569405804","13.73%; 12.85%; 0.840; -15.32%; -8.69%; 0.00pp","Benchmark row from isolated test performance file."
AE-PRES-INDEX-REV-005,26,Permanent CSI Test-Set Index Results at 10 bps,Mid best strategy,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,"track=permanent_csi; period=test; index_id=mid_cap; model_key=raw_plus_latent; threshold_method=youden; strategy_id=youden_permanent; transaction_cost_bps=10","net_annualized_geometric_return=0.141560073653111; net_annualized_sd=0.116541703884484; net_sharpe_ratio=0.945704172417707; net_max_drawdown=-0.138338829853703; net_expected_shortfall_2p5=-0.0802367860185002; net_difference_versus_benchmark=0.0042668660911984","14.16%; 11.65%; 0.946; -13.83%; -8.02%; +0.43pp","Best non-benchmark row by net_difference_versus_benchmark for Mid."
AE-PRES-INDEX-REV-005,26,Permanent CSI Test-Set Index Results at 10 bps,Small benchmark,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,"track=permanent_csi; period=test; index_id=small_cap; source_model_family=raw_plus_latent; model_key=bench; transaction_cost_bps=10","net_annualized_geometric_return=0.113682102530273; net_annualized_sd=0.155530365278528; net_sharpe_ratio=0.582060589737215; net_max_drawdown=-0.200877531365141; net_expected_shortfall_2p5=-0.108107353932268","11.37%; 15.55%; 0.582; -20.09%; -10.81%; 0.00pp","Benchmark row from isolated test performance file."
AE-PRES-INDEX-REV-005,26,Permanent CSI Test-Set Index Results at 10 bps,Small best strategy,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,"track=permanent_csi; period=test; index_id=small_cap; model_key=raw_plus_latent; threshold_method=youden; strategy_id=youden_permanent; transaction_cost_bps=10","net_annualized_geometric_return=0.12195377294075; net_annualized_sd=0.141789065146842; net_sharpe_ratio=0.676903134505228; net_max_drawdown=-0.182609219683658; net_expected_shortfall_2p5=-0.102521711228809; net_difference_versus_benchmark=0.0082716704104766","12.20%; 14.18%; 0.677; -18.26%; -10.25%; +0.83pp","Best non-benchmark row by net_difference_versus_benchmark for Small."
