run_id,period,strategy_id,threshold_method,lockout_years,difference_versus_benchmark,annualized_geometric_return,benchmark_annualized_geometric_return,alpha_pp,C,M,T,run_status,CV AP,CV AUC,CV R@FPR3,CV R@FPR5
C060_M000_T012,insample,fpr3_5yr,fpr3,5,0.0002297346376463,0.0926176541725525,0.0923879195349062,0.02297346376463,-0.6,0.0,12,skipped_complete_storage_pruned,0.4729406831139905,0.8252470736395566,0.1707650273224043,0.2505312689738919
C060_M000_T012,test,youden_2yr,youden,2,0.0038956378443877,0.141433819684839,0.137538181840451,0.38956378443877,-0.6,0.0,12,skipped_complete_storage_pruned,0.4729406831139905,0.8252470736395566,0.1707650273224043,0.2505312689738919
C060_M000_T018,insample,fpr3_3yr,fpr3,3,0.0002670695639788,0.092654989098885,0.0923879195349062,0.02670695639788,-0.6,0.0,18,skipped_complete_storage_pruned,0.3387147090092175,0.8036742122779613,0.1332764687066851,0.2082311547073248
C060_M000_T018,test,youden_3yr,youden,3,0.0032175187516014,0.140755700592053,0.137538181840451,0.32175187516014,-0.6,0.0,18,skipped_complete_storage_pruned,0.3387147090092175,0.8036742122779613,0.1332764687066851,0.2082311547073248
C060_M000_T028,insample,fpr3_1yr,fpr3,1,0.000844398773945,0.0932323183088513,0.0923879195349062,0.0844398773945,-0.6,0.0,28,skipped_complete_storage_pruned,0.2395151202936796,0.7755375338988642,0.1302659097699432,0.1906184642963848
C060_M000_T028,test,youden_3yr,youden,3,0.0044763221418302,0.142014503982281,0.137538181840451,0.44763221418302,-0.6,0.0,28,skipped_complete_storage_pruned,0.2395151202936796,0.7755375338988642,0.1302659097699432,0.1906184642963848
C060_M020_T012,insample,fpr3_5yr,fpr3,5,0.0006115731938756,0.0929994927287818,0.0923879195349062,0.06115731938755999,-0.6,-0.2,12,skipped_complete_storage_pruned,0.2655593663130686,0.8203453609560524,0.2039559619331964,0.2853144243328979
C060_M020_T012,test,youden_3yr,youden,3,0.0071557801214177,0.144693961961869,0.137538181840451,0.71557801214177,-0.6,-0.2,12,skipped_complete_storage_pruned,0.2655593663130686,0.8203453609560524,0.2039559619331964,0.2853144243328979
C060_M020_T018,insample,youden_3yr,youden,3,0.0010473895409568,0.0934353090758631,0.0923879195349062,0.10473895409568001,-0.6,-0.2,18,skipped_complete_storage_pruned,0.2207952618919973,0.8275723008558222,0.1890115050481333,0.2810518901150505
C060_M020_T018,test,youden_5yr,youden,5,0.0033816667874992,0.14091984862795,0.137538181840451,0.33816667874992,-0.6,-0.2,18,skipped_complete_storage_pruned,0.2207952618919973,0.8275723008558222,0.1890115050481333,0.2810518901150505
C060_M030_T012,insample,fpr3_3yr,fpr3,3,0.000409406024644,0.0927973255595502,0.0923879195349062,0.040940602464400004,-0.6,-0.3,12,skipped_complete_storage_pruned,0.1538076575670209,0.8380047431205874,0.1804016620498615,0.274584487534626
C060_M030_T012,test,youden_3yr,youden,3,0.0044356175767457,0.141973799417197,0.137538181840451,0.44356175767457,-0.6,-0.3,12,skipped_complete_storage_pruned,0.1538076575670209,0.8380047431205874,0.1804016620498615,0.274584487534626
C060_M030_T018,insample,fpr3_5yr,fpr3,5,0.0008302005517637,0.09321812008667,0.0923879195349062,0.08302005517637,-0.6,-0.3,18,skipped_complete_storage_pruned,0.151091182372982,0.8276046552552189,0.210968775020016,0.3046437149719775
