artifact,source,source_role
sensitivity_run_status_table.csv,C:\Users\Tristan Leiter\Documents\AgonyAndExcstasy\03_Data_Output\5_SensitivityAnalysis\presentation_ready\sensitivity_cmt_model_summary.csv,completed/reused run status count
sensitivity_run_status_table.csv,C:\Users\Tristan Leiter\Documents\AgonyAndExcstasy\03_Data_Output\5_SensitivityAnalysis\presentation_ready\temporary_blocked_config_disclosure.csv,blocked config list
sensitivity_index_stability_table.csv,C:\Users\Tristan Leiter\Documents\AgonyAndExcstasy\03_Data_Output\5_SensitivityAnalysis\presentation_ready\sensitivity_cmt_model_summary.csv,OOS AP/AUC/R@FPR3
sensitivity_index_stability_table.csv,C:\Users\Tristan Leiter\Documents\AgonyAndExcstasy\03_Data_Output\5_SensitivityAnalysis\presentation_ready\sensitivity_cmt_index_summary.csv,total-market benchmark-relative alpha
universe_stability_summary.csv,C:\Users\Tristan Leiter\Documents\AgonyAndExcstasy\03_Data_Output\5_SensitivityAnalysis\04_index_construction\combined_11c_performance.csv,best strategy distribution by universe
chart1_sensitivity_stability_distribution.png,C:\Users\Tristan Leiter\Documents\AgonyAndExcstasy\03_Data_Output\5_SensitivityAnalysis\04_index_construction\combined_11c_performance.csv,distribution of benchmark-relative alpha by universe
chart2_model_vs_index_sensitivity_scatter.png,C:\Users\Tristan Leiter\Documents\AgonyAndExcstasy\03_Data_Output\5_SensitivityAnalysis\presentation_ready\sensitivity_cmt_model_summary.csv,OOS AP
chart2_model_vs_index_sensitivity_scatter.png,C:\Users\Tristan Leiter\Documents\AgonyAndExcstasy\03_Data_Output\5_SensitivityAnalysis\presentation_ready\sensitivity_cmt_index_summary.csv,total-market benchmark-relative alpha
chart2_model_vs_index_sensitivity_scatter_refined.png,C:\Users\Tristan Leiter\Documents\AgonyAndExcstasy\03_Data_Output\5_SensitivityAnalysis\presentation_ready\sensitivity_cmt_model_summary.csv,OOS AP and highlighted C/M/T configurations
chart2_model_vs_index_sensitivity_scatter_refined.png,C:\Users\Tristan Leiter\Documents\AgonyAndExcstasy\03_Data_Output\5_SensitivityAnalysis\presentation_ready\sensitivity_cmt_index_summary.csv,total-market benchmark-relative alpha and correlation annotation
