run_id,index_id,track,period,index_name,benchmark_index_id,model_key,model_label,threshold_method,threshold_label,threshold,lockout_years,strategy_id,exclusion_rule,rule_label,weighting,n_months,annualized_geometric_return,annualized_sd,sharpe_ratio,max_drawdown,expected_shortfall_2p5,cumulative_return,rf_annual,benchmark_annualized_geometric_return,benchmark_annualized_sd,difference_versus_benchmark
C060_M000_T012,large_cap,dynamic_csi,full,CRSP-like US Large Cap,large_cap,raw,AutoGluon raw,fpr3,CV FPR <= 3%,0.45259908,5,fpr3_5yr,lockout_5yr,5yr lockout,mw,264,0.110394446259693,0.148158434894972,0.584779298786956,-0.51439033417154,-0.110455348003065,9.01152372671218,0.03,0.110220097573044,0.148595750839504,0.000174348686649
C060_M000_T012,mid_cap,dynamic_csi,full,CRSP-like US Mid Cap,mid_cap,raw,AutoGluon raw,fpr3,CV FPR <= 3%,0.45259908,3,fpr3_3yr,lockout_3yr,3yr lockout,mw,264,0.113624905618707,0.169721604798935,0.5485136286205,-0.547597589466413,-0.130326194971985,9.67226432295443,0.03,0.112982817794951,0.170909661797638,0.0006420878237562
C060_M000_T012,small_cap,dynamic_csi,full,CRSP-like US Small Cap,small_cap,raw,AutoGluon raw,youden,CV Youden J,0.14753672,2,youden_2yr,lockout_2yr,2yr lockout,mw,264,0.106453653930623,0.174487964449968,0.501207860182163,-0.517269811679259,-0.136176278111962,8.2582947145048,0.03,0.105113069336823,0.193920362258832,0.0013405845938001
C060_M000_T012,total_market,dynamic_csi,full,CRSP-like US Total Market,total_market,raw,AutoGluon raw,fpr3,CV FPR <= 3%,0.45259908,5,fpr3_5yr,lockout_5yr,5yr lockout,mw,264,0.11012811111977,0.152517074853418,0.57086041467243,-0.517497277452944,-0.113719296346973,8.95882736201179,0.03,0.109608464217754,0.153718064435946,0.0005196469020163
C060_M000_T018,large_cap,dynamic_csi,full,CRSP-like US Large Cap,large_cap,raw,AutoGluon raw,fpr1,CV FPR <= 1%,0.4001857,3,fpr1_3yr,lockout_3yr,3yr lockout,mw,264,0.11045584947357,0.148519911862228,0.584093043377547,-0.514691028793826,-0.110585754179418,9.02371050387456,0.03,0.110220097573044,0.148595750839504,0.0002357519005267
C060_M000_T018,mid_cap,dynamic_csi,full,CRSP-like US Mid Cap,mid_cap,raw,AutoGluon raw,youden,CV Youden J,0.11470394,2,youden_2yr,lockout_2yr,2yr lockout,mw,264,0.11424025527838,0.162933177405549,0.567906568938987,-0.53649592240685,-0.12599508760463,9.80275635675635,0.03,0.112982817794951,0.170909661797638,0.0012574374834293
C060_M000_T018,small_cap,dynamic_csi,full,CRSP-like US Small Cap,small_cap,raw,AutoGluon raw,youden,CV Youden J,0.11470394,2,youden_2yr,lockout_2yr,2yr lockout,mw,264,0.108280235798912,0.177854551221195,0.504283894306411,-0.513715185408059,-0.135438600946544,8.60043575250429,0.03,0.105113069336823,0.193920362258832,0.0031671664620895
C060_M000_T018,total_market,dynamic_csi,full,CRSP-like US Total Market,total_market,raw,AutoGluon raw,fpr3,CV FPR <= 3%,0.33182535,5,fpr3_5yr,lockout_5yr,5yr lockout,mw,264,0.11016486424192,0.152832540538143,0.57021364063208,-0.517951065014163,-0.11377347562722,8.96608345769561,0.03,0.109608464217754,0.153718064435946,0.0005564000241662
C060_M000_T028,large_cap,dynamic_csi,full,CRSP-like US Large Cap,large_cap,raw,AutoGluon raw,fpr3,CV FPR <= 3%,0.22554868,5,fpr3_5yr,lockout_5yr,5yr lockout,mw,264,0.110795102110519,0.147841523628069,0.588172084051904,-0.51142279733885,-0.109870578803626,9.09129808085387,0.03,0.110220097573044,0.148595750839504,0.0005750045374754
C060_M000_T028,mid_cap,dynamic_csi,full,CRSP-like US Mid Cap,mid_cap,raw,AutoGluon raw,youden,CV Youden J,0.086126864,2,youden_2yr,lockout_2yr,2yr lockout,mw,264,0.115505041833182,0.165208496889257,0.569245198304732,-0.537528260231686,-0.127656570282127,10.0757673796738,0.03,0.112982817794951,0.170909661797638,0.0025222240382312
