"split","metric","available","run_count_with_metric","best_run_id","best_value","source_file"
"cv","auc","True","24","C090_M000_T012","0.916241197160072","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"cv","ap","True","24","C060_M000_T012","0.47294068311399057","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"cv","recall_fpr_1pct","True","24","C090_M000_T012","0.16807649871276203","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"cv","recall_fpr_3pct","True","24","C090_M000_T012","0.36980507539536595","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"cv","recall_fpr_5pct","True","24","C090_M000_T012","0.4990805443177639","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"cv","brier","True","24","C090_M030_T028","0.017485833203730813","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"test","auc","True","26","C090_M030_T012","0.9183952257647959","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"test","ap","True","26","C060_M000_T012","0.47640612851412006","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"test","recall_fpr_1pct","True","26","C090_M000_T012","0.1375590020229265","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"test","recall_fpr_3pct","True","26","C090_M000_T012","0.3472690492245448","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"test","recall_fpr_5pct","True","26","C090_M030_T012","0.5","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"test","brier","True","26","C090_M030_T028","0.02135590162363834","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"oos","auc","True","26","C090_M030_T028","0.9219831881064574","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"oos","ap","True","26","C060_M000_T012","0.5663822532811691","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"oos","recall_fpr_1pct","True","26","C090_M000_T012","0.18927893738140417","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"oos","recall_fpr_3pct","True","26","C090_M000_T012","0.40654648956356737","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"oos","recall_fpr_5pct","True","26","C090_M000_T012","0.5550284629981025","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
"oos","brier","True","26","C090_M030_T028","0.01770989733399141","03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_model_metric_ranking.csv"
