"run_id","C","M","T","registry_status","status_class","exit_code","represented_in_registry","file_count_under_sensitivity_root","blocked_reason","note"
"C060_M000_T012","-0.60","0.00","12","skipped_complete_storage_pruned","reused_complete","0","True","28","","reused retained complete run"
"C060_M000_T018","-0.60","0.00","18","skipped_complete_storage_pruned","reused_complete","0","True","28","","reused retained complete run"
"C060_M000_T028","-0.60","0.00","28","skipped_complete_storage_pruned","reused_complete","0","True","28","","reused retained complete run"
"C060_M020_T012","-0.60","-0.20","12","skipped_complete_storage_pruned","reused_complete","0","True","28","","reused retained complete run"
"C060_M020_T018","-0.60","-0.20","18","skipped_complete_storage_pruned","reused_complete","0","True","28","","reused retained complete run"
"C060_M020_T028","-0.60","-0.20","28","blocked_partial","blocked_partial","3","True","16","non-empty partial outputs lack documented safe overwrite resume","non-empty partial outputs lack documented safe overwrite resume"
"C060_M030_T012","-0.60","-0.30","12","skipped_complete_storage_pruned","reused_complete","0","True","28","","reused retained complete run"
"C060_M030_T018","-0.60","-0.30","18","skipped_complete_storage_pruned","reused_complete","0","True","28","","reused retained complete run"
"C060_M030_T028","-0.60","-0.30","28","skipped_complete_storage_pruned","reused_complete","0","True","28","","reused retained complete run"
"C080_M000_T012","-0.80","0.00","12","blocked_partial","blocked_partial","3","True","16","non-empty partial outputs lack documented safe overwrite resume","non-empty partial outputs lack documented safe overwrite resume"
"C080_M000_T018","-0.80","0.00","18","blocked_partial","blocked_partial","3","True","8","non-empty partial outputs lack documented safe overwrite resume","non-empty partial outputs lack documented safe overwrite resume"
"C080_M000_T028","-0.80","0.00","28","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C080_M020_T012","-0.80","-0.20","12","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C080_M020_T018","-0.80","-0.20","18","skipped_complete_storage_pruned","reused_complete","0","True","27","","reused retained complete run"
"C080_M020_T028","-0.80","-0.20","28","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C080_M030_T012","-0.80","-0.30","12","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C080_M030_T018","-0.80","-0.30","18","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C080_M030_T028","-0.80","-0.30","28","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C090_M000_T012","-0.90","0.00","12","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C090_M000_T018","-0.90","0.00","18","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C090_M000_T028","-0.90","0.00","28","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C090_M020_T012","-0.90","-0.20","12","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C090_M020_T018","-0.90","-0.20","18","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C090_M020_T028","-0.90","-0.20","28","skipped_complete_storage_pruned","reused_complete","0","True","27","","reused retained complete run"
"C090_M030_T012","-0.90","-0.30","12","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C090_M030_T018","-0.90","-0.30","18","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
"C090_M030_T028","-0.90","-0.30","28","completed_full_storage_pruned","complete","0","True","28","","full isolated raw-only run completed and storage policy applied"
