"track","lockout_years","threshold_method","transaction_cost_bps","index_id","expected_grid"
"dynamic_csi","1","youden","0","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","0","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","0","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","0","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","5","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","5","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","5","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","5","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","10","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","10","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","10","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","10","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","20","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","20","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","20","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","youden","20","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","0","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","0","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","0","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","0","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","5","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","5","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","5","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","5","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","10","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","10","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","10","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","10","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","20","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","20","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","20","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr1","20","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","0","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","0","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","0","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","0","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","5","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","5","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","5","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","5","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","10","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","10","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","10","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","10","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","20","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","20","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","20","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr3","20","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","0","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","0","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","0","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","0","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","5","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","5","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","5","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","5","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","10","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","10","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","10","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","10","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","20","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","20","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","20","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","1","fpr5","20","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","0","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","0","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","0","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","0","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","5","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","5","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","5","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","5","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","10","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","10","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","10","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","10","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","20","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","20","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","20","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","youden","20","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","0","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","0","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","0","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","0","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","5","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","5","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","5","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","5","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","10","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","10","large_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","10","mid_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","10","small_cap","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
"dynamic_csi","2","fpr1","20","total_market","temporary 4 lockouts x 4 thresholds x 4 costs x 4 universes"
