track,universe,model,model_key,threshold_rule,lockout_or_permanent_rule,strategy_id,transaction_cost_bps,benchmark_geo_return_pct,strategy_net_geo_return_pct,active_alpha_recomputed_pp,active_alpha_source_column_pp,turnover_annual_gross,turnover_source,expected_annual_cost_drag_pp,benchmark_turnover_annual_gross,benchmark_expected_annual_cost_drag_pp,displayed_slide_value_pp,displayed_minus_recomputed_pp,rounded_recomputed_pp,pass_fail
Temporary CSI,Total,AG Base Dataset,fund,Youden,3y lockout,youden_3yr,5,13.286946,13.716199,0.429253,0.429253,0.103738,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,0.005187,0.067190,0.003359,0.43,0.000747,0.43,PASS
Temporary CSI,Total,AG Base Dataset,fund,Youden,3y lockout,youden_3yr,10,13.283195,13.710385,0.427190,0.427190,0.103738,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,0.010374,0.067190,0.006719,0.43,0.002810,0.43,PASS
Temporary CSI,Total,AG Base Dataset,fund,Youden,3y lockout,youden_3yr,20,13.275693,13.698757,0.423064,0.423064,0.103738,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,0.020748,0.067190,0.013438,0.42,-0.003064,0.42,PASS
Temporary CSI,Large,AG Base Dataset,fund,Youden,3y lockout,youden_3yr,5,14.269993,14.422650,0.152658,0.152658,0.130353,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,0.006518,0.122584,0.006129,0.15,-0.002658,0.15,PASS
Temporary CSI,Large,AG Base Dataset,fund,Youden,3y lockout,youden_3yr,10,14.263125,14.415345,0.152220,0.152220,0.130353,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,0.013035,0.122584,0.012258,0.15,-0.002220,0.15,PASS
Temporary CSI,Large,AG Base Dataset,fund,Youden,3y lockout,youden_3yr,20,14.249392,14.400736,0.151344,0.151344,0.130353,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,0.026071,0.122584,0.024517,0.15,-0.001344,0.15,PASS
Temporary CSI,Mid,AG Base Dataset,fund,FPR5,5y lockout,fpr5_5yr,5,9.595843,10.103006,0.507162,0.507162,1.058556,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,0.052928,1.069810,0.053491,0.51,0.002838,0.51,PASS
Temporary CSI,Mid,AG Base Dataset,fund,FPR5,5y lockout,fpr5_5yr,10,9.538258,10.045759,0.507501,0.507501,1.058556,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,0.105856,1.069810,0.106981,0.51,0.002499,0.51,PASS
Temporary CSI,Mid,AG Base Dataset,fund,FPR5,5y lockout,fpr5_5yr,20,9.423154,9.931332,0.508178,0.508178,1.058556,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,0.211711,1.069810,0.213962,0.51,0.001822,0.51,PASS
Temporary CSI,Small,AG Exp. Dataset + VAE,raw_plus_latent,Youden,3y lockout,youden_3yr,5,7.614411,8.245200,0.630789,0.630789,0.854929,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,0.042746,0.762737,0.038137,0.63,-0.000789,0.63,PASS
Temporary CSI,Small,AG Exp. Dataset + VAE,raw_plus_latent,Youden,3y lockout,youden_3yr,10,7.574144,8.199775,0.625631,0.625631,0.854929,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,0.085493,0.762737,0.076274,0.63,0.004369,0.63,PASS
Temporary CSI,Small,AG Exp. Dataset + VAE,raw_plus_latent,Youden,3y lockout,youden_3yr,20,7.493643,8.108965,0.615321,0.615321,0.854929,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,0.170986,0.762737,0.152547,0.62,0.004679,0.62,PASS
Permanent CSI,Total,AG Exp. Dataset + VAE,raw_plus_latent,FPR5,permanent removal,fpr5_permanent,5,13.286946,13.552922,0.265975,0.265975,0.067995,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,0.003400,0.067190,0.003359,0.27,0.004025,0.27,PASS
Permanent CSI,Total,AG Exp. Dataset + VAE,raw_plus_latent,FPR5,permanent removal,fpr5_permanent,10,13.283195,13.549121,0.265926,0.265926,0.067995,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,0.006800,0.067190,0.006719,0.27,0.004074,0.27,PASS
