track,universe,model,model_key,threshold_rule,lockout_or_permanent_rule,strategy_id,transaction_cost_bps,zero_cost_benchmark_geo_return_pct,strategy_net_geo_return_pct,corrected_active_alpha_pp,current_slide_displayed_alpha_pp,corrected_minus_displayed_pp,slide_ready_corrected_active_alpha_pp,turnover_annual_gross,expected_annual_cost_drag_pp,current_source_costed_benchmark_alpha_pp,source_file
Temporary CSI,Total,AG Base Dataset,fund,Youden,3y lockout,youden_3yr,5,13.290698,13.716199,0.425502,0.43,-0.004498,0.43,0.103738,0.005187,0.429253,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv
Temporary CSI,Total,AG Base Dataset,fund,Youden,3y lockout,youden_3yr,10,13.290698,13.710385,0.419687,0.43,-0.010313,0.42,0.103738,0.010374,0.427190,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv
Temporary CSI,Total,AG Base Dataset,fund,Youden,3y lockout,youden_3yr,20,13.290698,13.698757,0.408059,0.42,-0.011941,0.41,0.103738,0.020748,0.423064,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv
Temporary CSI,Large,AG Base Dataset,fund,Youden,3y lockout,youden_3yr,5,14.276860,14.422650,0.145790,0.15,-0.004210,0.15,0.130353,0.006518,0.152658,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv
Temporary CSI,Large,AG Base Dataset,fund,Youden,3y lockout,youden_3yr,10,14.276860,14.415345,0.138485,0.15,-0.011515,0.14,0.130353,0.013035,0.152220,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv
Temporary CSI,Large,AG Base Dataset,fund,Youden,3y lockout,youden_3yr,20,14.276860,14.400736,0.123876,0.15,-0.026124,0.12,0.130353,0.026071,0.151344,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv
Temporary CSI,Mid,AG Base Dataset,fund,FPR5,5y lockout,fpr5_5yr,5,9.653451,10.103006,0.449555,0.51,-0.060445,0.45,1.058556,0.052928,0.507162,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv
Temporary CSI,Mid,AG Base Dataset,fund,FPR5,5y lockout,fpr5_5yr,10,9.653451,10.045759,0.392308,0.51,-0.117692,0.39,1.058556,0.105856,0.507501,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv
Temporary CSI,Mid,AG Base Dataset,fund,FPR5,5y lockout,fpr5_5yr,20,9.653451,9.931332,0.277881,0.51,-0.232119,0.28,1.058556,0.211711,0.508178,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv
Temporary CSI,Small,AG Exp. Dataset + VAE,raw_plus_latent,Youden,3y lockout,youden_3yr,5,7.654689,8.245200,0.590512,0.63,-0.039488,0.59,0.854929,0.042746,0.630789,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv
